"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Polk County, Georgia",5,0.323,16373,120,"Georgia","no",0.570820878362842,"Trump",0.1308,0,0.0037,0.1194,2e-04,0.7201
"Pulaski County, Georgia",3,0.323,4250,52,"Georgia","yes",0.388385199705954,"Trump",0.0313,0.0012,0.0027,0.377,0,0.5739
"Putnam County, Georgia",3,0.388,9713,69,"Georgia","no",0.408519611978068,"Trump",0.0635,0,0.005,0.262,0,0.6569
"Quitman County, Georgia",3,0.317,824,3,"Georgia","no",0.096745027124774,"Trump",0.0074,0,0.0734,0.519,0.0017,0.3705
"Rabun County, Georgia",5,0.423,8146,54,"Georgia","no",0.57378762541806,"Trump",0.0801,0.0033,0.0113,0.019,0,0.877
"Randolph County, Georgia",3,0.4,3273,36,"Georgia","no",-0.0914415880247315,"Biden",0.0141,0,0,0.624,0,0.3465
"Richmond County, Georgia",5,0.361,82406,586,"Georgia","yes",-0.371674194623545,"Biden",0.0492,0.0024,0.0178,0.5558,0.0021,0.3453
"Rockdale County, Georgia",3,0.446,46110,199,"Georgia","yes",-0.407846735748976,"Biden",0.1022,9e-04,0.0198,0.5377,0.002,0.3172
"Schley County, Georgia",5,0.285,1830,6,"Georgia","no",0.588131868131868,"Trump",0.0651,0,0,0.2513,0,0.6799
"Screven County, Georgia",3,0.41,6805,42,"Georgia","no",0.189225894069715,"Trump",0.0217,0.0017,0.0074,0.4163,0,0.5446
