"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",0.35162877900164,"Trump",15.890238627,3.8137816668,4.0994037686,16.839657442,29.1,258.11051693,4.6795548783,24.528301887,2.9968281746,44,12.74839767,10.4,76.312656637,79296,0.331,0.916,0.872,2.83,"Medium"
"no",0.237254901960784,"Trump",21.526604842,4.6405597279,4.9108262678,20.088308462,20.3,184.83128043,5.1395113732,28.195141273,3.7493158183,50,15.917976542,21.4,77.498207153,48788,0.27,0.873,0.774,2.48,"Low"
"yes",0.0179724796405504,"Trump",25.791404082,5.0922875473,5.0149340294,24.088734316,31.6,619.77068485,5.4,37.32562096,5.0797465589,32,14.039448798,36.3,73.955496175,42632,0.132,0.801,0.723,2.72,"Medium"
"yes",0.435986747090307,"Trump",24.856533101,4.9869834458,4.9998333059,24.36151339,26.6,305.01461084,4.3957421038,30.66477503,3.3528918692,45,16.370287001,21,74.309823615,47410,0.122,0.806,0.695,2.56,"Low"
"no",-0.154686078252957,"Biden",31.027673043,5.4524068829,5.0048371447,27.294708488,40.2,1499.4326471,4.8220315717,34.28317008,3.6274070757,29,18.064338741,39,77.676042169,34960,0.091,0.729,0.632,2.56,"Medium"
"no",0.307438993498269,"Trump",17.745875719,3.9399981986,4.1606220888,19.193385696,28.8,319.79797265,4.1894805745,33.606621379,3.622598112,44,14.220018034,20.3,78.174079556,58552,0.239,0.913,0.843,2.66,"Low"
"no",0.42067253441661,"Trump",28.072936954,5.3986784499,5.1707380648,25.61163393,28.1,321.432754271808,5.9161994242,38.981173865,2.9740447008,33,22.039243167,34.3,74.541270046,41665,0.13,0.773,0.634,2.63,"Medium"
"yes",0.3899250991335,"Trump",21.034275953,4.4443775645,4.7722087407,20.768737893,35,311.38322472,4.3179941003,28.053230307,3.4142365513,45,15.20123776,21.8,75.252495412,59193,0.211,0.846,0.818,2.71,"Low"
"yes",0.559475961095941,"Trump",16.846445019,3.913473152,4.3918721526,19.180987652,26.5,260.12915715,4.0446650124,19.275381207,2.9805770206,50,13.938432129,15.2,78.325077641,60753,0.214,0.875,0.829,2.67,"Low"
"no",0.506567425569177,"Trump",25.76476604,5.0726200232,4.9154703937,24.840063538,34.2,189.43699326,4.4793082491,27.720820189,3.7826541275,39,18.389092576,38.2,76.676296918,42891,0.088,0.741,0.652,3.22,"Low"
