County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Emanuel County, Georgia",26.69444374,5.2871130758,5.1956378634,25.212711388,28.9,371.15828543,5.3194177969,42.283072546,5.3095209364,35,15.88211913,30.6,72.374631486,38529,Georgia
"Evans County, Georgia",26.874136727,5.2167756628,5.0573393217,23.841691884,25.5,160.33427267,6.0353661933,41.68743325,3.3730974907,45,17.782773308,36.0,75.961909902,41425,Georgia
"Fannin County, Georgia",18.089799267,4.3654290964,4.6016334707,20.296271589,30.4,124.32914068,4.2289178846,24.068835455,3.3009034051,48,19.233103448,22.7,77.484900578,47980,Georgia
"Fayette County, Georgia",12.638650316,3.0824544746,3.6119178553,12.728475424,20.2,73.496386428,4.0469756223,17.065445526,2.9818056394,52,10.7960508,7.1,81.147419707,94563,Georgia
"Floyd County, Georgia",21.970937582,4.6203384206,4.8274773688,21.161593726,32.8,338.34352002,4.7172374483,28.860310421,3.8261145343,50,17.191977077,24.1,75.155579137,50520,Georgia
"Forsyth County, Georgia",11.953622443,3.0114374116,3.5013056138,12.228497821,17.1,55.320108741,3.9241131843,10.400075545,2.7351813624,53,10.684941898,5.1,82.311960582,113332,Georgia
"Franklin County, Georgia",23.038643901,4.9446064675,4.9601364556,23.869852333,26.5,145.43482548,5.197941966,30.84807074,3.5204184269,52,19.153824601,25.7,73.855534844,47691,Georgia
"Fulton County, Georgia",14.798447711,3.2872388966,3.7119718744,13.287735617,20.6,763.18918796,5.9484575153,36.552436669,3.4740750583,50,13.674451238,21.8,79.624634916,79235,Georgia
"Gilmer County, Georgia",19.996144757,4.3933044605,4.5993434486,21.360131722,32.1,270.85404738,4.4122503575,29.872096937,3.5157238007,48,24.672603457,25.7,76.934230132,57007,Georgia
"Glascock County, Georgia",23.74100551,5.0563125856,5.2156410863,25.153593864,22.6,90.760573607,5.0596199663,48.755490483,3.6949685535,40,14.596145961,20.8,74.227802239,49350,Georgia
"Glynn County, Georgia",18.039118696,4.0192178032,4.387415423,18.563161232,30.2,479.35701285,5.2278018408,34.303702109,3.3193544288,46,17.643351291,25.9,77.437436268,58017,Georgia
"Gordon County, Georgia",22.961889195,4.7560406988,4.831813481,22.665294024,34.4,273.87728157,4.4323224301,27.57345095,3.3993422934,49,20.643609521,16.2,75.718635888,53373,Georgia
"Grady County, Georgia",24.367990057,4.9161794126,4.9842132319,22.959662466,36.7,193.56877617,5.3789911536,29.127320091,3.4070245957,42,20.798383022,29.1,76.32448775,42603,Georgia
"Greene County, Georgia",22.054498939,4.4860877691,4.659764454,20.395860981,36.1,252.28255646,5.9161611139,45.631067961,3.8516405136,52,19.729379355,27.6,78.34861511,60973,Georgia
